country_iso3,year,gdp
NA,2020,929074086484.0928
NA,2021,1086772164579.8656
NA,2022,1183962133998.8745
NA,2023,1236163044999.965
NA,1960,11884128412.35638
NA,1961,12685662254.548326
NA,1962,13606829296.953465
NA,1963,14439975113.76286
NA,1964,15769107619.64432
NA,1965,16934480009.67512
NA,1966,18048039301.765327
NA,1967,16495768073.4409
NA,1968,17022696447.026133
NA,1969,19301308226.682056
NA,1970,26697107727.570538
NA,1971,24507115744.83988
NA,1972,29493915342.496857
NA,1973,36902672687.493515
NA,1974,49688193508.801125
NA,1975,57280847233.57896
NA,1976,68386320009.24413
NA,1977,71790695539.89362
NA,1978,78779099935.40501
NA,1979,96682239143.4334
NA,1980,120501079996.36247
NA,1981,216911025160.50128
NA,1982,195917937082.0724
NA,1983,151222762742.84464
NA,1984,131218159345.53032
NA,1985,137802915765.2076
NA,1986,109237001606.11678
NA,1987,112294774121.17484
NA,1988,111227154884.74722
NA,1989,103934371464.6072
NA,1990,123711320144.87408
NA,1991,129942000513.29408
NA,1992,124599388202.38704
NA,1993,129732548073.78471
NA,1994,134776896049.75278
NA,1995,207176985178.4386
NA,1996,262600907503.91547
NA,1997,275742235273.20044
NA,1998,296152435737.04504
NA,1999,139468348132.66046
NA,2000,142140083285.94757
NA,2001,149451860838.10855
NA,2002,178692437188.28018
NA,2003,206982053949.06897
NA,2004,256100640349.77148
NA,2005,312409315139.6122
NA,2006,397088785487.80707
NA,2007,465683513908.3415
NA,2008,567937963599.4514
NA,2009,508552578501.96185
NA,2010,598697706331.0016
NA,2011,682233324561.0428
NA,2012,737799647336.1948
NA,2013,834160608935.9955
NA,2014,894585438237.9581
NA,2015,769367317617.821
NA,2016,692181085843.4884
NA,2017,685750159763.1329
NA,2018,768189587833.6237
NA,2019,823933630796.516
NA,2020,787146719022.4213
NA,2021,845993047006.8054
NA,2022,877140805320.3569
NA,2023,796586157553.094
ALB,1984,1857337995.3379953
ALB,1985,1897050116.5501163
ALB,1986,2097326250
ALB,1987,2080796250
ALB,1988,2051236250
ALB,1989,2253090000
ALB,1990,2028553750
ALB,1991,1099559027.7777777
ALB,1992,652174990.8373039
ALB,1993,1185315468.4629517
ALB,1994,1880950864.4131143
ALB,1995,2392764853.421074
ALB,1996,3199640815.4162974
ALB,1997,2258513974.0967965
ALB,1998,2545964540.883832
ALB,1999,3212121650.9775524
ALB,2000,3480355258.0412197
ALB,2001,3922100793.540304
ALB,2002,4348068242.195123
ALB,2003,5611496257.142313
ALB,2004,7184685781.518761
ALB,2005,8052077248.146379
ALB,2006,8896075004.635162
ALB,2007,10677324852.882233
ALB,2008,12881352893.68551
ALB,2009,12044205549.65712
ALB,2010,11926926615.801523
ALB,2011,12890760315.14602
ALB,2012,12319834195.331003
ALB,2013,12776224496.97176
ALB,2014,13228147516.116798
ALB,2015,11386853113.0189
ALB,2016,11861199830.83956
ALB,2017,13019726211.736889
ALB,2018,15156424015.197748
ALB,2019,15401826127.253857
ALB,2020,15162734205.246202
ALB,2021,17930565118.81762
ALB,2022,18916378860.54883
ALB,2023,22977677860.797855
DZA,1960,2723615451.3009768
DZA,1961,2434747055.940175
DZA,1962,2001444543.918851
DZA,1963,2702982017.6380277
DZA,1964,2909316435.287398
DZA,1965,3136284306.8546867
DZA,1966,3039859187.4516416
DZA,1967,3370870376.296824
DZA,1968,3852147026.773019
DZA,1969,4257253264.088344
DZA,1970,4863526896.574075
DZA,1971,5077183093.889678
DZA,1972,6766743956.8888855
DZA,1973,8707858912.12481
DZA,1974,13209871625.904444
DZA,1975,15557902754.033009
DZA,1976,17728240932.315838
DZA,1977,20972113684.955814
DZA,1978,26364491313.447136
DZA,1979,33243706859.659607
DZA,1980,42345829079.206245
DZA,1981,44348590460.92876
DZA,1982,45207167470.34967
DZA,1983,48801369800.36752
DZA,1984,53698548293.07447
DZA,1985,57937868670.193726
DZA,1986,63692007897.383354
DZA,1987,66745818375.492966
DZA,1988,59089396860.43423
DZA,1989,55634721572.73427
DZA,1990,62048507531.33572
DZA,1991,45715676428.27659
DZA,1992,48003133346.995735
DZA,1993,49945584452.65057
DZA,1994,42543176828.923744
DZA,1995,41764291671.77111
DZA,1996,46941554225.35815
DZA,1997,48177612042.15065
DZA,1998,48187781984.48805
DZA,1999,48640671734.971115
DZA,2000,54790398570.328224
DZA,2001,59413400923.63635
DZA,2002,61516103406.16878
DZA,2003,73482264190.92455
DZA,2004,91913680985.17082
DZA,2005,107046618669.707
DZA,2006,123084258693.00974
DZA,2007,142482739809.84927
DZA,2008,180383848331.13455
DZA,2009,150317292079.35913
DZA,2010,177785053939.53052
DZA,2011,218331946925.30356
DZA,2012,227143746075.934
DZA,2013,229701430292.1566
DZA,2014,238942664192.59
DZA,2015,187493855609.34464
DZA,2016,180763839522.1508
DZA,2017,189880896903.0733
DZA,2018,194554483655.52777
DZA,2019,193459662090.6768
DZA,2020,164873415325.20148
DZA,2021,186265418570.69662
DZA,2022,225560256621.7572
DZA,2023,239899491127.74237
ASM,2002,512000000
ASM,2003,524000000
ASM,2004,509000000
ASM,2005,500000000
ASM,2006,493000000
ASM,2007,518000000
ASM,2008,560000000
ASM,2009,675000000
ASM,2010,573000000
ASM,2011,570000000
ASM,2012,640000000
ASM,2013,638000000
ASM,2014,643000000
ASM,2015,673000000
ASM,2016,671000000
ASM,2017,612000000
ASM,2018,639000000
ASM,2019,647000000
ASM,2020,721000000
ASM,2021,750000000
ASM,2022,871000000
AND,1970,78617711.09653251
AND,1971,89406608.14581512
AND,1972,113414397.3656347
AND,1973,150841639.29744396
AND,1974,186557081.99813673
AND,1975,220112572.20533124
AND,1976,227283850.83127123
AND,1977,253997897.22696805
AND,1978,308020261.16414887
AND,1979,411548748.3547291
AND,1980,446377776.79800063
AND,1981,388983266.1998864
AND,1982,375914743.5810058
AND,1983,327850042.5158724
AND,1984,330073080.6370984
AND,1985,346742714.67515206
AND,1986,481996012.869071
AND,1987,611299924.5405055
AND,1988,721425939.1515498
AND,1989,795489582.0449102
AND,1990,1028989692.0678709
AND,1991,1106891361.5394838
AND,1992,1209992020.2954278
AND,1993,1007090269.8695564
AND,1994,1017544068.8407956
AND,1995,1178745282.8678029
AND,1996,1224024139.212953
AND,1997,1180645571.8643036
AND,1998,1211953994.0571387
AND,1999,1240295103.079385
AND,2000,1432606188.693242
AND,2001,1548265808.0580215
AND,2002,1764279824.297522
AND,2003,2366941808.944043
AND,2004,2900245324.492212
AND,2005,3161084091.1167426
AND,2006,3459337986.4494796
AND,2007,3957625367.21959
AND,2008,4102319399.0234303
AND,2009,3688976340.754897
AND,2010,3449925738.860686
AND,2011,3629133574.2778273
AND,2012,3188652765.361844
AND,2013,3193512950.024186
AND,2014,3271685596.6632113
AND,2015,2789881258.503616
AND,2016,2896610479.7307653
AND,2017,3000162081.1197567
AND,2018,3218419896.9641023
AND,2019,3155149347.806392
AND,2020,2891001149.361105
AND,2021,3324683011.590301
AND,2022,3380602042.8428345
AND,2023,3727673593.019216
AGO,1993,5879999999.999999
AGO,1994,4432026143.79085
AGO,1995,5538657322.021395
AGO,1996,6535458385.481852
AGO,1997,7675423799.362932
AGO,1998,6506387246.890386
AGO,1999,6152923310.4454565
AGO,2000,9129594970.153011
AGO,2001,8936079117.731356
AGO,2002,15285592370.37398
AGO,2003,17812704586.43969
AGO,2004,23552057679.499435
AGO,2005,36970900883.810905
AGO,2006,52381025141.42681
AGO,2007,65266415494.25839
AGO,2008,88538665084.86345
AGO,2009,70307196181.65387
AGO,2010,83799474069.73146
AGO,2011,111789747670.5905
AGO,2012,128052915766.34274
AGO,2013,132339109040.23174
AGO,2014,135966802586.7132
AGO,2015,90496420506.59566
AGO,2016,52761617225.925285
AGO,2017,73690154990.73123
AGO,2018,79450688259.36636
AGO,2019,70897962732.02774
AGO,2020,48501561203.568634
AGO,2021,66505129987.72355
AGO,2022,104399746853.4014
AGO,2023,84722957642.37566
ATG,1977,77496296.2962963
ATG,1978,88033333.33333333
ATG,1979,109585185.18518518
ATG,1980,132440740.74074072
ATG,1981,149377777.77777776
ATG,1982,166425925.9259259
ATG,1983,184848148.14814815
ATG,1984,212192592.59259257
ATG,1985,246344444.4444444
ATG,1986,297537037.037037
ATG,1987,346840740.7407407
ATG,1988,411374074.074074
ATG,1989,455148148.1481481
ATG,1990,478692592.59259254
ATG,1991,504307407.4074074
ATG,1992,525103703.7037037
ATG,1993,565633333.3333333
ATG,1994,625051851.8518518
ATG,1995,616014814.8148148
ATG,1996,679111111.111111
ATG,1997,734392592.5925926
ATG,1998,789762962.962963
ATG,1999,835514814.8148148
ATG,2000,900551851.8518518
ATG,2001,877514814.8148148
ATG,2002,897988888.8888888
ATG,2003,947955555.5555556
ATG,2004,1026181481.4814814
ATG,2005,1143714814.8148148
ATG,2006,1303548148.148148
ATG,2007,1487300000
ATG,2008,1557540740.7407403
ATG,2009,1386444444.4444444
ATG,2010,1298255555.5555556
ATG,2011,1281337037.037037
ATG,2012,1327107407.4074073
ATG,2013,1325425925.9259255
ATG,2014,1378829629.6296296
ATG,2015,1437755555.555555
ATG,2016,1489692592.5925925
ATG,2017,1531151851.8518517
ATG,2018,1661529629.6296296
ATG,2019,1725351851.8518517
ATG,2020,1410796296.296296
ATG,2021,1601366666.6666665
ATG,2022,1867733333.3333333
ATG,2023,2033085185.185185
NA,1965,26772088212.098404
NA,1966,28352060773.228107
NA,1967,30601967880.987427
NA,1968,34974202379.52233
NA,1969,38564894020.04758
NA,1970,43095586226.76212
NA,1971,49931740624.54719
NA,1972,59972469492.22443
NA,1973,79132917458.62912
NA,1974,152202083224.96094
NA,1975,168173601402.78735
NA,1976,210012101145.60373
NA,1977,242292495289.4869
NA,1978,265427508130.7853
NA,1979,358140569341.4641
NA,1980,486440975212.35626
NA,1981,494949357407.8618
NA,1982,463116781558.6808
NA,1983,437502791694.1127
NA,1984,440213958688.43896
NA,1985,432899572101.06274
NA,1986,405502496535.0954
NA,1987,431288831867.96466
NA,1988,429413862085.5367
NA,1989,457402110666.6925
NA,1990,640090916280.6221
NA,1991,466374353043.2712
NA,1992,466062663007.9742
NA,1993,477189600616.46234
NA,1994,498083764817.6213
NA,1995,526560849591.8491
NA,1996,568785405470.3555
NA,1997,612394626427.8442
NA,1998,596742288704.4005
NA,1999,663176057519.8239
NA,2000,760659530858.8258
NA,2001,741974816657.2614
NA,2002,743726477660.1875
NA,2003,826976496725.0271
NA,2004,983700787595.348
NA,2005,1205595865007.2478
NA,2006,1434109187806.894
NA,2007,1668426022116.8896
NA,2008,2109171849559.7715
NA,2009,1822783841737.6716
NA,2010,2154252309110.1936
NA,2011,2559855182439.7764
NA,2012,2793775680472.1484
NA,2013,2857872049304.9116
NA,2014,2905075942181.625
NA,2015,2544136348540.1826
NA,2016,2499965913229.877
NA,2017,2571053716382.9434
NA,2018,2865543585777.9526
NA,2019,2898668715645.555
NA,2020,2576553324185.614
NA,2021,2969116805615.582
NA,2022,3613682354462.2393
NA,2023,3491516939569.8794
ARG,1983,109490000000
ARG,1984,112988571428.57144
ARG,1985,88416666666.66667
ARG,1986,106213829787.23404
ARG,1987,109029439252.33646
ARG,1988,126928000000
ARG,1989,76629657863.6557
ARG,1990,141352654305.16275
ARG,1991,189719984268.48453
ARG,1992,228778917308.16983
ARG,1993,236741715015.015
ARG,1994,257440000000
ARG,1995,258031750000
ARG,1996,272149750000
ARG,1997,292859000000
ARG,1998,298948250000
ARG,1999,283523000000
ARG,2000,284203750000
ARG,2001,268696750000
ARG,2002,97724004251.8602
ARG,2003,127586973492.17664
ARG,2004,164657930452.78662
ARG,2005,198737095012.28165
ARG,2006,232557260817.3077
ARG,2007,287530508430.568
ARG,2008,361558037110.41925
ARG,2009,332976484577.6189
ARG,2010,423627422092.4897
ARG,2011,530158122010.4424
ARG,2012,545982375701.128
ARG,2013,552025140252.2463
ARG,2014,526319673731.6383
ARG,2015,594749285413.2124
ARG,2016,557532320662.9546
ARG,2017,643628393281.364
ARG,2018,524819892360.1758
ARG,2019,447754683615.22455
ARG,2020,385740508436.9652
ARG,2021,487902572164.3484
ARG,2022,631133384439.9445
ARG,2023,640591410663.8834
ARM,1990,2256863448.7708597
ARM,1991,2069870129.8701296
ARM,1992,1272835453.426344
ARM,1993,1201312829.2752385
ARM,1994,1315158636.6755345
ARM,1995,1468317435.2014842
ARM,1996,1596968946.2370784
ARM,1997,1639492444.7615163
ARM,1998,1893726437.2646184
ARM,1999,1845482173.027324
ARM,2000,1911563668.8500648
ARM,2001,2118467913.378734
ARM,2002,2376335048.399756
ARM,2003,2807061008.6908445
ARM,2004,3576615240.4161587
ARM,2005,4900469511.1019125
ARM,2006,6384452066.514603
ARM,2007,9206301269.791636
ARM,2008,11662040713.875307
ARM,2009,8647937081.256197
ARM,2010,9260285755.624235
ARM,2011,10142111824.583546
ARM,2012,10619320682.947445
ARM,2013,11121464437.04153
ARM,2014,11609513246.795769
ARM,2015,10553337518.414
ARM,2016,10546136235.521862
ARM,2017,11527458709.015797
ARM,2018,12457940694.73953
ARM,2019,13619290539.211609
ARM,2020,12641698583.21524
ARM,2021,13878908628.937807
ARM,2022,19513474648.242935
ARM,2023,24212134631.064003
ABW,1986,405586592.17877096
ABW,1987,487709497.2067039
ABW,1988,596648044.6927375
ABW,1989,695530726.2569833
ABW,1990,764804469.273743
ABW,1991,872067039.1061453
ABW,1992,958659217.877095
ABW,1993,1083240223.4636872
ABW,1994,1245810055.8659215
ABW,1995,1320670391.0614524
ABW,1996,1379888268.1564243
ABW,1997,1531843575.4189944
ABW,1998,1665363128.49162
ABW,1999,1722905027.9329607
ABW,2000,1873452513.9664805
ABW,2001,1896456983.2402232
ABW,2002,1961843575.4189944
ABW,2003,2044111731.8435757
ABW,2004,2254830726.2569833
ABW,2005,2360017318.435754
ABW,2006,2469782681.5642457
ABW,2007,2677641340.782123
ABW,2008,2843024581.0055866
ABW,2009,2553793296.0893855
ABW,2010,2453597206.7039104
ABW,2011,2637859217.8770947
ABW,2012,2615208379.888268
ABW,2013,2727849720.670391
ABW,2014,2790849720.670391
ABW,2015,2962907262.5698323
ABW,2016,2983635195.5307264
ABW,2017,3092429050.27933
ABW,2018,3276184357.541899
ABW,2019,3395798882.6815643
ABW,2020,2558906303.8809776
ABW,2021,3103184101.5135417
ABW,2022,3544707788.0566425
AUS,1960,18606562977.050076
AUS,1961,19682883149.261303
AUS,1962,19922563187.61011
AUS,1963,21539843446.37495
AUS,1964,23801123808.17981
AUS,1965,25976164156.186264
AUS,1966,27307844369.2551
AUS,1967,30442724870.83598
AUS,1968,32714085234.253635
AUS,1969,36683365869.33854
AUS,1970,41333606613.37706
AUS,1971,45216647234.66356
AUS,1972,52040887850.46729
AUS,1973,63830877642.536835
AUS,1974,88963890935.88799
AUS,1975,97303017888.84338
AUS,1976,105059356494.42484
AUS,1977,110349850883.2301
AUS,1978,118491633469.73026
AUS,1979,134898330114.7336
AUS,1980,149985515320.33426
AUS,1981,176893068617.20654
AUS,1982,194038397881.4962
AUS,1983,177265418961.89316
AUS,1984,193518998163.39615
AUS,1985,180637129503.84717
AUS,1986,182475517627.30835
AUS,1987,189487162519.85175
AUS,1988,236154038684.2917
AUS,1989,299871835376.0419
AUS,1990,311420509067.6277
AUS,1991,325966686052.58057
AUS,1992,325518458076.53326
AUS,1993,312128302417.08826
AUS,1994,322802490487.7205
AUS,1995,368166023166.0232
AUS,1996,401341880620.7279
AUS,1997,435642611296.5858
AUS,1998,399674421759.47906
AUS,1999,389652212056.6487
AUS,2000,416167815092.9082
AUS,2001,379629301675.1082
AUS,2002,395788696012.0592
AUS,2003,467739079790.332
AUS,2004,614659980082.5154
AUS,2005,695692898676.5597
AUS,2006,748417562769.6357
AUS,2007,855007458585.2241
AUS,2008,1056112427190.3768
AUS,2009,928762122698.0496
AUS,2010,1148890200292.423
AUS,2011,1398701323029.6284
AUS,2012,1547649835732.891
AUS,2013,1577301840200.0142
AUS,2014,1468597690006.215
AUS,2015,1351768945139.1135
AUS,2016,1207580901578.7236
AUS,2017,1326882104817.0027
AUS,2018,1429733668185.9053
AUS,2019,1394671325960.568
AUS,2020,1330381544909.3044
AUS,2021,1559033756285.1294
AUS,2022,1692956646855.7017
AUS,2023,1723827215334.7063
AUT,1960,6650133914.547951
AUT,1961,7375454614.280467
AUT,1962,7823686765.350787
AUT,1963,8447136819.839664
AUT,1964,9249879078.757586
AUT,1965,10081145818.076052
AUT,1966,10982543233.368248
AUT,1967,11680319624.67278
AUT,1968,12549016578.695044
AUT,1969,13701141219.245855
AUT,1970,15373005557.02567
AUT,1971,17858486066.747437
AUT,1972,22059612476.93315
AUT,1973,29515467706.79598
AUT,1974,35189299911.660774
AUT,1975,40059206763.056015
AUT,1976,42959976221.52335
AUT,1977,51545758887.68629
AUT,1978,62052259073.24932
AUT,1979,73937296963.45857
AUT,1980,82058912997.23463
AUT,1981,71034228443.06204
AUT,1982,71275287569.57329
AUT,1983,72121016546.65237
AUT,1984,67985344886.871605
AUT,1985,69386774408.08725
AUT,1986,99036164939.1618
AUT,1987,124168442533.73969
AUT,1988,133339397080.12927
AUT,1989,133105805512.22047
AUT,1990,166463386179.35373
AUT,1991,173794177961.10782
AUT,1992,195078126721.7631
AUT,1993,190379720809.18015
AUT,1994,203535242741.83835
AUT,1995,241038283062.64505
AUT,1996,237250948791.26593
AUT,1997,212790348404.5552
AUT,1998,218259904401.9564
AUT,1999,217259147049.95413
AUT,2000,197289625479.9063
AUT,2001,197508773215.3231
AUT,2002,214394866675.2396
AUT,2003,262273631180.05435
AUT,2004,301457562038.5413
AUT,2005,316092273276.01544
AUT,2006,336280064332.4113
AUT,2007,389185571506.05225
AUT,2008,432051935642.9452
AUT,2009,401758735822.2107
AUT,2010,392275107258.6674
AUT,2011,431685217367.51056
AUT,2012,409401816050.5313
AUT,2013,430190979705.962
AUT,2014,442584815286.03375
AUT,2015,381971148530.5428
AUT,2016,395837353031.499
AUT,2017,417261151844.9772
AUT,2018,454991174096.1016
AUT,2019,444596155845.2542
AUT,2020,435049316955.73663
AUT,2021,479295362747.0466
AUT,2022,470941926750.74115
AUT,2023,516034144115.9503
AZE,1990,8884848484.848484
AZE,1991,5344000000
AZE,1992,444658671.5867158
AZE,1993,1570392598.1495376
AZE,1994,1193141110.3504274
AZE,1995,2417331192.9526043
AZE,1996,3176507376.3183618
AZE,1997,3962362387.479221
AZE,1998,4446368570.690101
AZE,1999,4581248566.501584
AZE,2000,5272615722.968918
AZE,2001,5707616203.720108
AZE,2002,6236087738.282841
AZE,2003,7276413079.114511
AZE,2004,8680405740.941248
AZE,2005,13245421880.834042
AZE,2006,20981929497.618767
AZE,2007,33049419431.224392
AZE,2008,48851293785.44826
AZE,2009,44292427184.94917
AZE,2010,52909294791.92624
AZE,2011,65952796427.94731
AZE,2012,69679944504.19719
AZE,2013,74160560123.69016
AZE,2014,75239785452.10219
AZE,2015,53076235354.74602
AZE,2016,37866996882.915695
AZE,2017,40866627351.98167
AZE,2018,47112470051.77007
AZE,2019,48174235294.117645
AZE,2020,42693000000
AZE,2021,54825411764.70589
AZE,2022,78807470588.2353
AZE,2023,72356176470.58824
BHS,1960,169803921.56862745
BHS,1961,190098039.21568623
BHS,1962,212254901.96078432
BHS,1963,237745098.03921568
BHS,1964,266666666.66666663
BHS,1965,300392156.8627451
BHS,1966,340000000
BHS,1967,390196078.4313725
BHS,1968,444901960.78431374
BHS,1969,528137254.9019608
BHS,1970,538423153.6926148
BHS,1971,573400000
BHS,1972,590900000
BHS,1973,670900000
BHS,1974,632400000
BHS,1975,596200000
BHS,1976,642100000
BHS,1977,713000000
BHS,1978,832400000
BHS,1979,1139800100
BHS,1980,1335300000
BHS,1981,1426500000
BHS,1982,1578300000
BHS,1983,1732800000
BHS,1984,2041100000
BHS,1985,2320699900
BHS,1986,2472500000
BHS,1987,2713999900
BHS,1988,2817900000
BHS,1989,3062000000
BHS,1990,3166000000
BHS,1991,3111160000
BHS,1992,3109000000
BHS,1993,3092000000
BHS,1994,3259000000
BHS,1995,3429000000
BHS,1996,3609000000
BHS,1997,6332360000
BHS,1998,6833220000
BHS,1999,7683870000
BHS,2000,8076470000
BHS,2001,8317830000
BHS,2002,8881160000
BHS,2003,8870090000
BHS,2004,9055290000
BHS,2005,9836200000
BHS,2006,10167250000
BHS,2007,10618340000
BHS,2008,10526000000
BHS,2009,9981960000
BHS,2010,10095760000
BHS,2011,10070450000
BHS,2012,10720500000
BHS,2013,10395800000
BHS,2014,10974100000
BHS,2015,11671900000
BHS,2016,11745100000
BHS,2017,12236700000
BHS,2018,12615800000
BHS,2019,13016200000
BHS,2020,9958200000
BHS,2021,11368900000
BHS,2022,13136400000
BHS,2023,14338500000
BHR,1970,391577364.829337
BHR,1971,422181562.0990299
BHR,1972,534081183.5538125
BHR,1973,761132544.6077071
BHR,1974,1042176882.5478998
BHR,1975,1099107600.2596838
BHR,1976,1581709519.2985678
BHR,1977,1989060283.1105783
BHR,1978,2272042966.442506
BHR,1979,2710160740.2835913
BHR,1980,3493834466.8394265
BHR,1981,3943109531.7956114
BHR,1982,4145421079.979627
BHR,1983,4247030467.408351
BHR,1984,4440874566.639973
BHR,1985,4152376484.476223
BHR,1986,3470746843.808431
BHR,1987,3856922695.406995
BHR,1988,4209834173.796064
BHR,1989,4393093961.837181
BHR,1990,4809511004.960319
BHR,1991,5248911170.212766
BHR,1992,5402232446.808511
BHR,1993,5913001063.829787
BHR,1994,6330627925.531915
BHR,1995,6651180851.063829
BHR,1996,6938166755.319149
BHR,1997,7219407712.765958
BHR,1998,7031309042.553191
BHR,1999,7528469148.936171
BHR,2000,9062898936.170212
BHR,2001,8976196808.51064
BHR,2002,9593510638.297873
BHR,2003,11074813829.787231
BHR,2004,13150159574.468084
BHR,2005,15968723404.25532
BHR,2006,18504760638.29787
BHR,2007,21730000000
BHR,2008,25710904255.31915
BHR,2009,22938218085.106384
BHR,2010,25713271276.595745
BHR,2011,28776595744.68085
BHR,2012,30749308510.638294
BHR,2013,32539468085.106384
BHR,2014,33387712765.957447
BHR,2015,31125851063.82979
BHR,2016,32250132978.723404
BHR,2017,35423643617.02128
BHR,2018,37802005319.14893
BHR,2019,38653318085.106384
BHR,2020,34621807712.76596
BHR,2021,39288670212.76596
BHR,2022,44383297872.34042
BHR,2023,43205000000
BGD,1960,4274894083.3333335
BGD,1961,4817580375
BGD,1962,5081413541.666667
BGD,1963,5319458562.5
BGD,1964,5386054833.333334
BGD,1965,5906636791.666667
BGD,1966,6439687854.166667
BGD,1967,7253575687.5
BGD,1968,7483685770.833334
BGD,1969,8471006437.5
BGD,1970,8992722166.666668
BGD,1971,8751843187.5
BGD,1972,6288245866.666667
BGD,1973,8086725729.340702
BGD,1974,12512460519.70876
BGD,1975,19448348073.456512
BGD,1976,10117113333.333334
BGD,1977,9651149301.874596
BGD,1978,13281767142.857143
BGD,1979,15565480321.944807
BGD,1980,18138049095.607235
BGD,1981,20249694002.44798
BGD,1982,18525399201.59681
BGD,1983,17609048821.54882
BGD,1984,18920840000
BGD,1985,22278423076.923077
BGD,1986,21774033333.333332
BGD,1987,24298032258.06452
BGD,1988,26579005558.365208
BGD,1989,28781715188.89191
BGD,1990,31598340778.21637
BGD,1991,30957483949.57983
BGD,1992,31708874594.164455
BGD,1993,33166519417.98942
BGD,1994,33768660882.793015
BGD,1995,37939748768.656715
BGD,1996,46438484107.57946
BGD,1997,48244309133.489456
BGD,1998,49984559471.36564
BGD,1999,51270569883.52746
BGD,2000,53369787318.62453
BGD,2001,53991289844.32913
BGD,2002,54724081490.510185
BGD,2003,60158929188.255615
BGD,2004,65108544250.04247
BGD,2005,69476001429.86258
BGD,2006,71795735672.01486
BGD,2007,79611644984.35574
BGD,2008,91636997445.24236
BGD,2009,102475158462.5109
BGD,2010,115275540861.35988
BGD,2011,128607482927.46776
BGD,2012,133310747047.52785
BGD,2013,149998957327.0292
BGD,2014,172886611131.25522
BGD,2015,195146607942.29083
BGD,2016,265224514652.99173
BGD,2017,293732447017.3276
BGD,2018,321362751137.57434
BGD,2019,351231655150.82745
BGD,2020,373979442653.34265
BGD,2021,416271647002.4352
BGD,2022,460131688909.3012
BGD,2023,437415331040.9943
BRB,1960,80021380.2934078
BRB,1961,85363261.48789419
BRB,1962,88782065.452366
BRB,1963,99893178.33689786
BRB,1964,99252152.59355947
BRB,1965,105021384.28360496
BRB,1966,113194462.511169
BRB,1967,125553936.24222256
BRB,1968,125733668.572354
BRB,1969,141393142.225575
BRB,1970,166210202.81050453
BRB,1971,186824232.861676
BRB,1972,213723103.1165341
BRB,1973,260770622.81761944
BRB,1974,311809337.4732126
BRB,1975,402178605.01955354
BRB,1976,435911268.5896796
BRB,1977,495097667.9290412
BRB,1978,552883707.0551385
BRB,1979,670362452.1453787
BRB,1980,1012280614.5279174
BRB,1981,1114204743.2009149
BRB,1982,1163923830.3584747
BRB,1983,1236016506.7369363
BRB,1984,1346890071.0982947
BRB,1985,1409536120.91682
BRB,1986,1547755183.2148364
BRB,1987,1704370307.7611496
BRB,1988,1812757917.76463
BRB,1989,2006165166.8075376
BRB,1990,2012131457.2664447
BRB,1991,2020583702.0832295
BRB,1992,1957000000
BRB,1993,2063342117.038731
BRB,1994,2151344901.307612
BRB,1995,2216974096.3555913
BRB,1996,2363645403.470392
BRB,1997,2498384129.6673794
BRB,1998,2817083478.3473377
